k_b_p3,k_b_p11,k_op_succ,k_pt_lldr,k_pt_gfp,k_f_lldrcomplex,k_d_lldrmRNA,k_d_lldr,k_d_lldrcomplex,k_d_gfpmRNA,k_d_gfp,alpaga_basal,alpaga_act1,alpaga_act2,alpaga_k3,alpaga_k_act1,alpaga_k_act2,copy_nr,mumax,tc,cap,sigma,scale,score
2.781326518700040218e+00,9.990090162792768069e+00,9.756879296775657906e+00,5.037416792233257112e+00,9.092342456443208931e+00,6.168484998589159218e+00,9.182457504953644545e+00,7.069756443510355481e+00,8.951258185591083105e+00,9.180593163734606099e-01,3.001978476599892563e-03,7.368131210440735934e+00,2.125265134552920987e+00,9.152604306721455529e+00,5.980236229165132755e+01,7.025058270447972575e+01,7.058198904696359932e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,2.623784624309627489e+01,1.673247853755940916e+06
2.062219479261926836e+00,9.971818004905848909e+00,4.033541744383969174e+00,2.982723479512418230e+00,3.369424975556582602e+00,5.515815489744521294e+00,6.299399929681205990e+00,7.021143820209739594e+00,4.795007897473986702e+00,8.899992866547186132e-01,4.975834409100456796e-03,2.087963884998732311e+00,3.129431980911902667e+00,7.369778457498805224e+00,3.102097362514973611e+01,4.563830109737178020e+01,5.325586140208304187e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,1.390189148148668039e+02,1.687610527340687579e+06
9.403731381645171084e+00,4.612147879173824627e+00,6.211149955151018531e-01,2.212799688397913300e+00,2.986204083413627197e-01,9.059753469786304692e+00,5.787165225267195900e+00,1.810335557793580019e+00,9.948699617256343330e+00,6.078553550846733655e-01,3.583757184404288195e-03,7.328168230369318081e+00,1.257744486923478622e+00,8.061083259917825927e+00,5.303357584849037210e+01,9.551782684249664612e+01,4.694665869385823243e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,6.663251190213928794e+02,1.707371223609586945e+06
7.966217132040227078e+00,2.951829264619303839e+00,6.851046940129224438e+00,5.351340878540216117e+00,7.252068902416137774e-01,5.923836062978145911e+00,9.820308080976564824e+00,6.212664408248862458e+00,8.310703374325504100e+00,8.167337739110656913e-02,4.418492492681373555e-03,2.395465687570790703e+00,1.072885326272078332e+00,1.981934235279932732e+00,5.611146645519257703e+01,2.333441379366226087e+01,7.122635476290096790e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,3.372079787734938350e+02,1.708904937477327418e+06
5.861091641645819195e+00,1.353838001875842023e+00,3.162820451242528641e+00,4.239963298930529589e+00,5.559867387557577700e-01,7.406630657912497639e+00,1.653519576652069167e+00,7.187629928514510880e+00,9.330903440191793408e+00,6.697067345251648263e-01,1.733409556179486138e-03,4.108109714708557902e+00,5.707846193341755026e+00,6.032233658078145488e+00,5.315486525023616338e+01,4.288314793949795956e+01,6.820133357547763353e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,4.876116093131000753e+02,1.715042949480416253e+06
7.010049406958550833e+00,2.282028582043996057e+00,4.872513869822229893e+00,2.388124062017794369e+00,1.150529671083478478e+00,1.366320643212455499e+00,3.668510204381664863e+00,3.228831547642834199e+00,1.397854250814003274e+00,1.401943349059435517e+00,1.455605554922080732e-03,6.925255929507975416e+00,3.922819778483820130e+00,5.820433715799544494e-03,8.633114956580590160e+01,2.084707706056506282e+01,7.811988327410485056e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,6.469547735436535731e+02,1.718739317334447522e+06
2.458928989414074007e+00,1.559672448681500123e+00,6.762238622892929207e+00,8.503159059827662958e+00,5.635381643619830072e+00,7.959537891128150022e+00,1.712860029041900045e+00,8.606442932227871268e+00,7.866177831060142012e+00,9.904457174065216529e-01,2.944889290308456975e-03,2.169918238162302337e+00,9.821038071236891653e-01,1.662623009417576014e+00,5.521608443447581038e+01,6.149012384078433513e+01,3.996492248241481349e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,2.030720736729506655e+02,1.726333604724563425e+06
1.811738095959013917e+00,3.395032702928290735e+00,7.390655912162529262e+00,1.407078279142614852e+00,3.155448890723870914e+00,9.006300961997820709e-01,1.898969828329875265e+00,6.543010170292956396e+00,9.274287804886427011e+00,2.902776889900228752e-01,1.063433206866988730e-02,3.254507580246586596e+00,2.020394809824542559e+00,6.427993194770775354e+00,4.277104652657560990e+01,7.156865444328191472e+01,7.982959879759377486e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,7.630485149912253462e+01,1.734262778979251627e+06
9.090155167809360393e+00,6.352002441364044572e+00,6.080825453079309995e+00,2.949479810350447817e+00,1.046536727056362359e+00,9.466820223937311596e+00,5.158269617582300626e+00,4.562313786121420023e+00,7.246987386896484473e+00,7.943157199746624375e-01,4.924142537407815573e-03,7.705029860896840388e-01,3.244847918535966880e+00,5.263626894883036478e+00,8.568735206819010841e+01,7.985952298102219515e+01,5.555026897243259043e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,6.430353144729880341e+02,1.746468672406038968e+06
9.122122261215642069e+00,7.103604101809129823e+00,9.669238329136863541e+00,7.236871629791628457e+00,2.468246399439111283e+00,3.123107000553040802e+00,8.223107180572547747e+00,9.987996805908661457e+00,9.745706404516813137e+00,4.839995070592604809e-01,4.437601434875913277e-03,8.213801450393726000e+00,2.742683885845313418e-01,3.854964182826221553e+00,6.823847138782555533e+01,7.105766880801081697e+01,3.468568577187826207e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,8.243100049726177758e+01,1.754398312422590563e+06
