as_input,k_b_dcas,k_b_sgrna,k_pt_dcas,k_pt_gfp,k_f_cascomplex_fw,k_f_cascomplex_rv,k_f_ascomplex_fw,k_f_ascomplex_rv,k_f_ascascomplex1_fw,k_f_ascascomplex1_rv,k_f_ascascomplex2_fw,k_f_ascascomplex2_rv,k_p_asrna,k_p_gfpmrna,k_d_dcasmrna,k_d_dcas,k_d_sgrna,k_d_cascomplex,k_d_asrna,k_d_ascomplex,k_d_ascascomplex,k_d_gfpmrna,k_d_gfp,kd_asrna,kd_dcas,n_inducer,n_cascomplex,scale,score
0.000000000000000000e+00,8.946461484279989662e+00,8.550704259978907373e+00,7.227406372329636675e-01,7.256850710321340436e+00,4.957688531614751426e+00,4.447689878961348597e+00,2.559891402919235670e+00,3.140103279270647807e+00,1.592416871714846804e+00,2.634492421521893224e+00,9.225822911449974129e+00,5.787585712650221481e+00,5.707709602497677004e+00,5.626695457988954985e+00,2.178230695498256875e+00,5.606041140788824428e-01,1.004228138873107579e+00,3.212106643929046879e-01,3.389967278270272111e+00,3.823218347541049056e+00,6.003673191963262212e+00,8.234253393134247645e+00,2.623270159569870280e-02,6.814319301260041151e-01,5.407120070962334601e-01,3.000000000000000000e+00,3.000000000000000000e+00,1.225583905726265215e+02,1.756616877283592112e+04
0.000000000000000000e+00,6.860218978827981928e+00,1.706107153738846360e+00,8.384868365105736743e+00,5.097762140189815661e+00,1.488449392875861310e+00,3.523826218387916320e+00,7.926040063282162151e+00,5.892750346466574252e-01,5.958165419469245272e+00,1.007115994008169579e+01,2.979017744838854953e-02,8.078045812979658180e+00,5.162748500105038829e+00,2.557755587853515866e+00,6.123281780921374207e+00,3.204921812444784912e+00,6.472106358262175174e-01,9.072589394474409596e-01,4.080089069568360927e+00,8.472375472611977543e+00,2.592487314196719517e+00,5.936729247001580667e+00,4.257452812590987318e-02,5.246276994244556846e+00,1.903714083260480139e-01,5.000000000000000000e+00,3.000000000000000000e+00,2.238187555597311018e+02,1.763910668621566219e+04
0.000000000000000000e+00,3.705096358735060047e+00,7.856972748883570112e+00,3.709439989067043086e+00,9.039683113550259108e+00,9.868172575583955108e+00,6.255261664113389131e+00,6.029990080272312758e-01,1.962640727681879138e+00,7.787191162353263252e+00,2.201873553778161546e-02,8.510237579546151565e+00,7.709793215489759710e+00,6.385770252490890364e+00,2.724203749894400062e+00,5.883350256180799182e-02,1.636804047849660382e-01,1.820945053606272790e+00,1.020525980040084546e+00,3.104725251039943235e+00,6.757568292356295636e+00,9.100250341028473855e+00,8.142746101676852533e+00,4.478883226677424917e-02,1.090697957867891033e+00,1.825021384802862467e+00,1.000000000000000000e+00,3.000000000000000000e+00,1.625250242324243573e+02,1.764680356793290775e+04
0.000000000000000000e+00,6.090252459425310461e-01,8.109290629002240181e+00,2.770464475705953777e+00,8.391246946570783294e+00,5.284465510224761076e+00,2.380487108931472751e+00,4.690258355899013409e+00,9.914029492523622478e-02,9.278637071851051132e+00,4.114626444431338292e+00,9.410123013908023637e+00,6.515026534203726349e+00,7.752142409312924087e+00,1.327953647151578043e+00,3.889344856327267008e-01,3.280295113193496537e+00,1.426766044564893976e+00,1.413444749655557775e+00,7.413957014202929408e+00,8.784441799186417654e+00,1.149441874660999563e+00,6.500381122324274230e+00,8.959449467421585350e-03,2.762900995931679038e+00,1.855851915585588485e-01,5.000000000000000000e+00,3.000000000000000000e+00,2.745918151451705285e+02,1.767991187841566352e+04
0.000000000000000000e+00,7.459597569650141757e+00,7.646197546914745402e+00,5.500599739395147125e+00,8.805082553585764416e+00,7.182102126461124669e+00,2.183407732456663641e-01,8.227403890691615373e+00,3.033062377409113886e+00,9.027936994259846415e+00,4.220201852763850070e+00,5.647144765986965353e+00,4.132334152143473993e+00,4.040008152660259810e+00,1.348491569090732201e+00,2.777863122870984913e+00,8.549931257230301895e+00,4.530313716671466651e+00,9.959788835486379499e-01,2.884029586580222571e+00,6.269994251426883380e+00,3.111761367089827424e+00,2.599025613727108830e+00,3.565633522081853440e-02,1.290298251819997466e+00,1.017987942153714354e+00,4.000000000000000000e+00,3.000000000000000000e+00,1.430701923618978242e+02,1.779616628983187911e+04
0.000000000000000000e+00,9.748133508640888678e+00,2.039030211272983895e+00,1.106936117316377421e+00,1.456871117261631987e+00,8.416347585540998821e+00,2.605641698418642349e+00,8.687026859585618155e+00,4.104322785088124093e+00,9.067241323807135878e-01,1.176959616122154051e+00,8.663585098138133489e+00,4.309698847504335184e+00,9.423922690020813064e+00,3.013749773074456684e+00,4.342231971050989792e+00,2.593742493833990359e+00,6.789036207952167779e+00,1.879445169747502864e-01,1.183689056359848779e+00,4.144236084039468082e+00,1.613909189985327286e+00,5.839020219182012639e+00,3.477619769469525446e-02,3.951336717315505620e+00,1.216281790315926759e-01,1.000000000000000000e+00,2.000000000000000000e+00,6.816163351230824219e+02,1.794046154708610266e+04
0.000000000000000000e+00,7.646662662882057759e+00,2.970984027767776148e+00,4.575514326136495669e+00,4.455295987994418283e+00,1.520224397981659425e+00,1.761881260766632540e+00,3.322808348790341704e+00,2.130465331298053488e+00,1.536094971192222269e+00,3.423824103786626161e+00,5.681514642552039085e+00,8.874025128878217927e-01,4.596938540729313516e+00,9.579074266539647553e+00,1.001594859283746919e+00,3.352589743067515560e+00,1.652729497881615939e-01,2.196676539046758858e+00,1.659948804615205775e+00,5.297971570569845134e+00,8.528490905893239216e+00,8.272480015771368045e+00,2.454135400705572193e-02,1.128826720088441510e-01,4.421691137874514399e-01,4.000000000000000000e+00,3.000000000000000000e+00,8.523810451699083046e+01,1.827926719913758643e+04
0.000000000000000000e+00,7.457249331704492334e+00,6.406863466527409123e+00,4.066032247344363526e+00,5.294817762716307108e+00,4.390828812041537965e+00,1.866173228839511089e-01,2.216616296450839574e+00,4.224813454081677300e+00,8.143386476211828651e+00,8.558483894128722014e+00,7.384559023412632150e+00,5.826662283620758220e-01,3.322123418025125119e+00,2.583970241377931298e+00,6.414171551990116349e+00,1.969905394900120399e+00,7.553137304134962982e+00,4.894010557632731406e-01,4.056921761516811387e+00,5.062776111221059416e+00,9.315213195326558449e+00,7.231011294930606681e+00,4.428279030489565976e-03,6.005992204390153688e+00,6.784824503681201602e-01,1.000000000000000000e+00,4.000000000000000000e+00,3.329322764878663179e+02,1.840393875403674247e+04
0.000000000000000000e+00,7.693136322296821206e+00,1.091888338281003534e+01,9.782488889051071723e+00,2.462833720468647236e+00,1.039022284370942728e+01,9.668546818587710590e+00,8.131298846190128771e+00,6.786536568184011742e+00,5.995152686793020713e+00,1.815201856852424633e+00,4.360504063055604007e+00,4.618519011732812318e-01,1.069337003416397103e+01,8.952463456576220224e+00,2.466277298304162979e+00,5.432667060890072896e+00,1.032906398130759795e+00,6.655338358896271123e-01,8.971524695099273305e-01,7.148424676809803646e-01,1.499820003525388357e+00,1.222724378012614466e+00,3.000531754460548581e-02,1.305661268627419380e+00,2.087701806117469694e+00,2.000000000000000000e+00,2.000000000000000000e+00,3.851634566350621469e+01,1.840894461372627120e+04
0.000000000000000000e+00,6.581614267903672655e+00,5.070136114859827181e+00,7.600670012301566913e+00,4.172706714397657279e+00,7.194203085304851086e+00,6.608948505948956331e+00,8.547292226480150745e+00,6.693756298760018097e+00,7.975425146884245642e+00,7.354926313736901200e+00,5.487246341113668713e+00,8.581836877292122523e+00,2.176880709947474291e+00,1.143071422215168997e+00,5.608427013731346555e+00,1.744755974343258798e+00,4.057857647658367206e+00,1.584193311946642813e-01,9.473735406858101449e-01,7.440765077630554281e+00,3.874354042972342427e+00,7.354918288637311008e+00,1.753242044286455270e-03,5.605299031811590560e-02,9.537088042753510964e-01,2.000000000000000000e+00,4.000000000000000000e+00,6.402379677210201407e+02,1.841969509494661907e+04
0.000000000000000000e+00,2.036302294096114629e+00,5.128515233741884671e+00,4.139284320662435235e+00,3.226527631477116298e+00,2.024413561610154400e+00,5.812790196100377393e+00,8.966743749712382083e+00,1.859428368220421124e+00,5.404362384609959769e+00,5.839225993645578150e+00,1.079224389726021194e-01,1.009817267789523632e+00,8.842254160183019351e+00,3.938870117662462533e+00,8.192396664217933555e-01,2.028335210215038487e+00,2.126681640259834971e+00,5.089387419909517263e+00,3.863530097307318112e+00,6.531875108692275056e+00,1.154407996627170752e+00,7.561291264471512896e+00,1.204576631268533538e-02,5.942228653816497008e+00,1.510215528711394695e-01,3.000000000000000000e+00,5.000000000000000000e+00,2.789990747838203333e+02,1.846962422177724147e+04
0.000000000000000000e+00,5.534546597291153169e+00,5.350378852372605465e+00,8.592507675240570464e+00,1.474022426373437777e-01,8.490693645826922875e+00,6.577504596972685746e+00,7.585879695179094995e+00,2.304056023290898647e+00,1.805693832265511611e+00,6.402015803232783853e+00,2.546630186242793137e+00,8.195033386770305128e+00,9.129593709873743634e+00,4.881092225248500505e+00,7.929405730132909058e-01,7.889308431586142589e+00,9.153468112621276909e-01,7.522531276794036437e+00,2.529649187862840432e+00,6.151672845347026630e+00,2.046350575476043154e+00,2.831304077044912160e-01,4.130002275128238920e-02,2.172343070444036073e+00,3.830336423812549240e-01,5.000000000000000000e+00,4.000000000000000000e+00,9.757147290162444051e+02,1.847801684038888925e+04
0.000000000000000000e+00,3.835383369789191477e+00,7.359693345452727797e+00,7.524505780652922304e+00,8.931277658510882844e+00,5.052851361820326126e+00,2.835875434600672929e+00,6.276982682922064960e+00,5.731122398245722671e+00,4.439354028134322228e+00,7.515333673823755056e+00,6.109719947795628769e+00,6.092674625866669302e+00,4.565020132714074919e+00,6.832559854769049146e-01,8.197911155222593393e+00,5.860734680534507746e+00,4.738981815493596428e-01,1.757581893717065746e+00,6.238162562493853036e-01,3.460780831265106716e-01,1.021128438367892421e+01,9.267578383937951969e+00,1.870352606885446536e-02,5.049780869213544854e+00,4.110145787078950397e-01,1.000000000000000000e+00,4.000000000000000000e+00,8.938419367374568765e+02,1.848382357422522909e+04
0.000000000000000000e+00,7.849755491657377071e+00,4.263196973766882003e+00,6.718634443486954488e+00,1.323711455178369523e+00,5.403883815061280238e+00,2.699681213606375252e+00,6.222146453868846017e+00,6.241189542625144249e+00,7.772923552944564385e+00,7.425943316393390781e-01,5.612872563435973738e+00,4.885409788184420066e+00,4.655730684128023711e+00,4.371317068039410891e+00,6.205958877190945522e+00,8.493939988818750564e+00,1.554345402187188085e+00,1.912959191930573732e+00,1.763619016529257566e+00,1.377328859892473112e+00,2.592617598719321403e+00,2.553740575329163764e+00,4.410603359962065283e-03,8.606326012469082132e-01,3.186596666344049811e-01,4.000000000000000000e+00,2.000000000000000000e+00,2.454941623098332286e+02,1.850605879508255020e+04
0.000000000000000000e+00,3.211583320092385119e+00,1.845925255244617702e+00,1.839267932037154107e+00,4.366154498563202146e+00,8.553335602381395120e+00,5.781791418282769435e+00,2.647059787517601848e+00,5.352834541470568475e+00,9.748990995725183240e+00,4.472822188387984177e+00,1.811934897610994799e+00,3.962990643069556618e-01,3.026027696814728163e+00,3.323421122456776899e+00,2.861388521768610360e+00,2.438435111628649565e+00,3.054998617760458779e-01,6.827990619460987176e+00,8.228360548873482616e-02,5.660310772687367376e+00,9.289468138984322110e+00,1.381660988907508880e+00,1.515034723346770675e-02,3.686030016808258036e+00,6.289491017199902445e-02,3.000000000000000000e+00,2.000000000000000000e+00,6.399330232221075221e+01,1.850819263121723270e+04
0.000000000000000000e+00,2.437223089401571841e+00,5.460280777017800791e-01,7.785308287216456513e+00,1.726732315349456481e+00,9.521446156912428904e+00,1.183998625136480021e+00,3.763200384008319244e+00,6.238099897088428492e+00,3.914794183454494370e+00,1.700591467619446018e+00,4.933275758811609180e+00,4.668038459776099325e-01,7.976038588622261116e+00,2.259170841339469771e+00,4.458418322723457727e+00,9.212725554216445900e+00,3.914254641211665220e+00,9.732572957964534810e-01,5.130227789931601556e+00,2.975905184546619342e+00,6.915507445092711869e+00,1.984721390565775678e+00,4.610989006798229400e-02,1.292878647458901353e+00,4.180395614747907385e-02,4.000000000000000000e+00,2.000000000000000000e+00,3.244707141634845584e+02,1.861712859913018838e+04
