k_b_p3,k_b_p11,k_op_succ,k_pt_lldr,k_pt_gfp,k_f_lldrcomplex,k_d_lldrmRNA,k_d_lldr,k_d_lldrcomplex,k_d_gfpmRNA,k_d_gfp,alpaga_basal,alpaga_act1,alpaga_act2,alpaga_k3,alpaga_k_act1,alpaga_k_act2,copy_nr,mumax,tc,cap,sigma,scale,score
6.250190499527900734e+00,9.324082220160970991e+00,7.917121542266668754e+00,8.523955562541759789e+00,4.327924306145463085e+00,2.924509717774767203e+00,1.646954618339126597e+00,9.006453592801323182e+00,4.491264466217658402e+00,2.452175502320671718e+00,3.367621388957295087e-03,6.619347508398021329e-01,5.210707312020195658e+00,3.932667915470089870e+00,8.593075979699486311e+01,7.532132260521424882e+01,5.472759909155582392e+01,5.498437319441734417e+00,4.109143283599586138e-01,1.140257480904832299e+01,3.193759026170442938e-01,4.532930648518095573e+00,4.403492862281191833e+02,1.039209198434343678e+06
5.825449598266374096e+00,7.605900263374261172e+00,4.722862442157146567e+00,4.480491641210841536e+00,4.968198269326827621e+00,4.441445372263749469e+00,7.038080714743192523e+00,1.013129797458265280e+01,7.659240269945551738e+00,7.279684450327562395e+00,6.308558118435772175e-03,5.273083150038110567e+00,5.596383937515910567e+00,4.089058875234943713e+00,4.811437806932733707e+01,2.504287221681480435e+00,8.404664909097320447e+00,4.891834728312799641e+00,3.851480222863366554e-01,1.096940640100622844e+01,3.594440167607008685e-01,4.104895037811510328e+00,6.840490137408172586e+02,1.039297469590258901e+06
7.736965589631790152e+00,7.646065707845592363e-02,4.539179024106118066e-01,1.410811021320711234e+00,2.547637602528307177e+00,2.502837609844945188e+00,4.657856764908937741e+00,5.493031713880968780e+00,1.494936399280057504e+00,4.085824357746643543e+00,1.159245152247934249e-03,9.406802090963416463e-01,3.935064197003844466e+00,7.818385715680843617e+00,6.847389331448141547e+01,6.680163163620872524e+01,3.243904728304037377e+01,5.021743542052106157e+00,3.648704499999999573e-01,1.051664613249070257e+01,2.377983386914962471e-01,4.157733106619151187e+00,7.955110737491318105e+02,1.046863325683425646e+06
9.141162862697651548e+00,7.803262993197036756e+00,4.301058416709811816e+00,9.121614259361281896e+00,1.374115062746696037e+00,3.839934604317388089e+00,7.902934311628929898e+00,6.011979403116433751e+00,6.626063741304107246e+00,6.907561304559521886e-01,7.351968992344306945e-03,4.992087984028978020e+00,5.361328994436145301e+00,4.206209849962961655e+00,6.875007656801093958e+01,2.501898159677744715e+01,8.379523964602839214e+01,5.376801822189559488e+00,4.647999858017003438e-01,1.119559602481101557e+01,3.139498071892643516e-01,4.584967526490137502e+00,2.638292987249556631e+02,1.047443740770345787e+06
4.733132528955661833e+00,4.877690432490991768e+00,1.394041604831322667e+00,9.907756713155288608e+00,5.964057195904418629e-01,2.129776621012718696e+00,9.339113490900398773e+00,3.225085751348693464e+00,3.179749729843503125e+00,6.288290360860077088e-02,6.387965225617078628e-03,6.575302759522414497e+00,3.122196200918048170e+00,6.705646603229840075e+00,8.635372289340750740e+01,9.667902904628874694e+01,3.854669643036950077e+01,5.032225108955260318e+00,5.179349143476015271e-01,1.047720963376890246e+01,3.363905780663961065e-01,4.292576187056090120e+00,1.523893260415589452e+02,1.051723410013101064e+06
8.122106878770562588e+00,7.554090943700558114e+00,2.363428094715563699e+00,2.392400014646471007e+00,2.500983035474598548e+00,9.540475780767142311e+00,2.757081460150466512e+00,1.822865951078342039e+00,5.476672522314459890e+00,3.689153780638714242e-01,5.249929758044488692e-03,7.590759088415969913e+00,5.040450155666255094e-01,6.318324257442649916e+00,6.713378578731756363e+01,8.669082584566095306e+01,3.091193679308553488e+00,5.095870026484791815e+00,5.099241880018472450e-01,1.062764510325244771e+01,3.214516449299179568e-01,4.352138549481129992e+00,8.583404688198719157e+01,1.053751396902735578e+06
4.048115293003399451e+00,6.118313141234621888e+00,7.850603544502813946e+00,2.734042713428601168e+00,3.564614487556626798e+00,3.851352509988060224e-01,6.755010530246740252e+00,5.039239470844762536e+00,6.604396304714511778e+00,1.554525480774203938e+00,3.584821086414701537e-03,4.064576947846785693e+00,2.903397283129659723e+00,3.128323920640940337e+00,4.719065739305010965e+01,5.169868056916110177e+00,8.060213193600458226e+01,4.717585581155121055e+00,4.792429413928416815e-01,1.097579702165653615e+01,2.928213300460836277e-01,3.986144186721971128e+00,3.124063102828999945e+02,1.054364565725913504e+06
7.446313472898822283e+00,4.521862789265372662e+00,4.385733539988664553e+00,8.823491520015496192e+00,2.212774105560408322e-01,4.287728916520046063e+00,1.251359486507656049e+00,8.120786722058014107e+00,4.664359004234102102e-01,1.210972866792717206e-01,1.342603684263658261e-02,7.214554171540008554e+00,3.387152005177690217e+00,9.939254655401726923e-01,1.006467269608615993e+02,8.681426820579336834e+01,4.542921652689500434e+01,5.076393557233107146e+00,4.550903237744745589e-01,1.058770560412559369e+01,3.150944711747962756e-01,4.323186612094915837e+00,7.440077880615601771e+02,1.058705072909578681e+06
3.567241653064928020e+00,1.558721811934277168e+00,3.491311129890835474e+00,7.427066843657132544e+00,4.233200666808735413e+00,1.116688438136450134e+00,2.297437974959096074e+00,3.421647053292860452e+00,7.033711482417044358e+00,2.779248639395728859e-01,1.763836126574726271e-02,9.137300502714895245e+00,3.183117145725049113e+00,5.400592178411829813e+00,7.965929216886101472e+01,6.706313456933312978e+01,2.495347002565780237e+00,4.810019896192144095e+00,3.648704499999999573e-01,1.081461586828724819e+01,3.464670258861167751e-01,4.375801579195850444e+00,4.045913347449267405e+01,1.063411144934528507e+06
5.931644590087562285e+00,6.966523088736154001e+00,4.543183359261909970e+00,6.976114767631513836e+00,1.060634250546187207e+00,2.242568160243079145e+00,7.737173772344904776e+00,1.030807836006226275e+00,9.452445623766722038e-01,1.268095966230738059e+00,8.818657737084723697e-03,6.054319194920878111e+00,2.442531562017726809e+00,1.053608634602619176e+01,1.270889887217627567e+01,6.727241330482300441e+01,5.349701313488355225e+01,4.614114979715820297e+00,4.837267141094522827e-01,1.114275054732227943e+01,2.335808509999999782e-01,3.986522870248635275e+00,4.306887119551643650e+02,1.071437014710925985e+06
