as_input,k_b_dcas,k_b_sgrna,k_pt_dcas,k_pt_gfp,k_f_cascomplex_fw,k_f_cascomplex_rv,k_f_ascomplex_fw,k_f_ascomplex_rv,k_f_ascascomplex1_fw,k_f_ascascomplex1_rv,k_f_ascascomplex2_fw,k_f_ascascomplex2_rv,k_p_asrna,k_p_gfpmrna,k_d_dcasmrna,k_d_dcas,k_d_sgrna,k_d_cascomplex,k_d_asrna,k_d_ascomplex,k_d_ascascomplex,k_d_gfpmrna,k_d_gfp,kd_asrna,kd_dcas,n_inducer,n_cascomplex,scale,score
0.000000000000000000e+00,9.768236286869832696e+00,2.779365213936635381e+00,9.587459212677424958e+00,1.919549037334845609e+00,6.477838375224708400e+00,6.165319088860220509e-01,6.621975541459901748e+00,1.212363697535315143e+00,2.715881260277897002e+00,5.880919242124486024e-01,2.810034885970240204e+00,3.587514586630421665e+00,4.817533598319014843e+00,1.128359844202723838e+00,4.153698841840697042e+00,4.636009760475592323e+00,1.066705287629333032e+00,2.429922351111843959e-01,6.526360571763287766e+00,5.942607938381527788e+00,5.029964189001402630e+00,3.301359636424131772e+00,1.498147182211514994e-02,3.002869398797132217e+00,1.562065744376174070e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.613651231606946794e+02,2.291297067576157133e+04
0.000000000000000000e+00,9.843465947796069315e+00,6.500858774470216872e+00,3.592224381476387229e+00,9.548206341540483422e+00,9.022522136785962488e+00,4.453357747580360737e+00,4.538759491208076646e+00,2.274100303241492593e+00,5.578891617838173111e+00,8.185857403300067503e-01,8.323990538894706859e+00,7.443397396125038590e+00,6.603759036953007922e+00,7.662156149615584333e+00,9.993512464301431697e-01,5.253447964281180660e+00,3.067928675857756637e+00,2.212741786811474931e+00,3.631133083549292095e+00,8.748873836157132544e+00,1.999395206698112437e+00,8.938666551417558281e+00,3.227450899879214657e-02,1.987963845804468832e+00,1.001496955052741278e+00,3.000000000000000000e+00,4.000000000000000000e+00,5.032545212505824139e+01,2.293485328938100429e+04
0.000000000000000000e+00,1.873176279244638476e+00,3.743658747250944163e+00,9.195129305599520464e+00,1.237592603248755529e-01,8.513816967515738909e+00,1.491280862516517702e+00,3.550037440980564618e+00,7.347259472863550300e+00,7.653377718535020691e+00,2.952365415576766461e-01,5.047598481690668493e+00,1.006212608418020737e+00,9.832607224045032623e+00,8.692467991868031874e+00,3.573017668428403404e+00,9.101708170407885490e+00,5.906476140520616980e+00,5.821584756578682907e+00,9.331698826438394434e+00,7.789646307539181080e+00,8.477858837158450456e+00,1.004366427391181649e+00,3.150869996320496136e-02,1.919855785691484851e+00,1.079547694607668751e-01,1.000000000000000000e+00,5.000000000000000000e+00,5.944615859397652002e+02,2.326132881242529766e+04
0.000000000000000000e+00,4.390676553859496956e+00,6.080575479774127601e+00,6.201889485380524647e+00,8.069476459987615868e+00,8.639748949580720705e+00,2.367145280881141067e-01,5.320725296506884305e+00,1.226342967403442508e+00,9.955707743180896685e+00,3.846251707516169738e+00,2.481307061986052886e+00,6.255043680800947747e+00,2.970695916289402216e+00,6.018977313387502415e-01,4.820360634542265821e+00,7.813209582810444864e+00,2.998662058819783205e+00,7.722421764768880870e-01,6.115485545929001177e+00,5.772568588312893212e+00,5.728475323485632487e+00,2.822964876769202824e+00,4.275570646333024666e-02,2.916044143829159996e+00,6.930119202786324539e-01,1.000000000000000000e+00,3.000000000000000000e+00,4.141113910718233342e+02,2.340318330622821668e+04
0.000000000000000000e+00,6.727768621272964822e+00,7.165844278651416488e+00,8.025075751350525977e+00,2.063816464065599821e+00,5.817876739850755818e+00,9.274715283517263487e+00,5.265247218595032308e+00,5.957745385249854309e+00,8.265275370721431258e+00,2.419680364766735092e+00,9.062223933270208143e-02,2.706731616630346782e+00,9.743967544612717191e+00,4.724568057340224891e-01,1.345748185638453664e+00,4.302402875089017975e+00,6.301809194791399449e+00,1.019093018295437414e+00,5.382992359765133905e+00,5.048898622828332350e+00,8.837300835909259078e+00,7.077824926638448533e-01,4.367917953172729961e-02,3.069569968814843897e+00,6.455516665048520730e-01,4.000000000000000000e+00,3.000000000000000000e+00,8.438347993797489153e+02,2.342508759884739629e+04
0.000000000000000000e+00,6.131435693843587664e+00,7.710376767030156842e+00,9.473463228144895609e+00,2.949244895364236285e+00,6.121251726276271121e+00,6.345860496943352302e+00,3.498562772910556617e+00,7.901579759955723148e+00,7.821390837917043370e+00,3.885793062529989683e+00,3.551863828035907389e+00,2.577836243887649648e+00,8.943740076431115682e+00,9.931833502800271773e+00,8.234365492819176069e+00,3.666056677571153610e+00,8.282111388360531734e+00,2.205165717770903200e+00,8.878794174444587739e+00,9.938226405613248104e+00,8.253633658334765144e+00,5.636108662023926463e+00,3.052848984199876825e-02,7.983971985106482983e+00,3.111166183614620939e-01,1.000000000000000000e+00,5.000000000000000000e+00,1.266556802494683893e+02,2.369931078284284013e+04
0.000000000000000000e+00,4.026799122757212857e+00,6.122848740456188210e+00,4.374638754901170046e+00,7.462053857002485024e+00,9.371740306575640389e+00,8.560475740387296639e+00,4.059362143481840768e+00,4.051435299393878475e-01,4.712355807488783910e+00,4.232338876450127074e+00,9.249361563780871265e+00,7.594597721822553549e-01,9.886505696123052189e+00,1.055581513674499705e+00,5.414730051585975312e-02,4.006821781196638455e+00,7.740570468517873337e+00,8.787938389770724168e-01,1.997017936439924757e+00,4.775907564850959020e+00,9.303696560423741602e+00,8.359480346867776746e+00,1.532319044713772137e-02,2.824913354697329737e+00,8.257304924893993370e-01,2.000000000000000000e+00,3.000000000000000000e+00,3.964860590569025476e+02,2.373939987135663978e+04
0.000000000000000000e+00,4.325130826647569648e+00,6.765336216593961893e+00,5.312354029298775870e+00,6.415112738765977873e+00,8.616354447775107062e+00,2.673672827959063802e+00,1.589000441628397875e-01,3.922903275271603984e+00,7.000399516169368397e+00,1.445608199666547078e+00,7.889678803405886676e+00,8.984412113211518447e-01,7.806253579977192381e+00,6.392066684490576911e+00,9.065891917268144654e-03,6.683161724972270790e-01,1.741902441666131063e+00,1.449484842752705172e+00,4.621398716361778014e+00,7.349241020729038176e+00,2.003106102575431535e+00,8.968575470292371676e+00,4.460726892383060083e-02,1.347160907358940340e+00,1.461837128010928133e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.044236240612991935e+02,2.404130197133339971e+04
0.000000000000000000e+00,4.159053597989892381e+00,6.610061864297063217e+00,9.338980559043827512e+00,1.710602124767262699e+00,9.372240631158039292e+00,2.546834044773290007e+00,1.307086672932775251e+00,7.274721220824934775e+00,9.524753670657124971e+00,2.129750074314772590e+00,6.346506039127433052e-01,7.505982099900713855e+00,5.595954655806867351e+00,6.623317838720471640e-01,9.874096925395804192e+00,1.500352868481587887e+00,7.233311803175568322e+00,1.001108213259972679e+00,9.044750843383111416e+00,7.071930963330392395e+00,9.809082850831101652e+00,1.359353178224027570e+00,4.890617408237377811e-02,3.465122497907374033e+00,6.583160351017700584e-01,2.000000000000000000e+00,3.000000000000000000e+00,8.084495768149124615e+02,2.409556701985854670e+04
0.000000000000000000e+00,5.190553968297913379e+00,7.665738371830222775e+00,8.439745123150665052e+00,1.964816158730024798e+00,7.784326519244467057e+00,8.374204253496104755e+00,9.888897691188043737e+00,7.680812049086194193e-01,9.028623925162269970e+00,9.006390235152968771e+00,9.901087827589272194e+00,4.256877090422292120e+00,6.747778959605345683e+00,3.218849642831369096e+00,5.379624537270383255e-01,8.265577972658249450e+00,9.024044449277512925e+00,3.955639713103915156e+00,4.829709484919180729e-01,8.734054953709875946e+00,9.750726494034591241e+00,9.731984758028112026e+00,4.587558299698352160e-02,1.316135113194632833e+00,2.873361437760366677e-01,3.000000000000000000e+00,2.000000000000000000e+00,8.092084131074515199e+02,2.429342047781072688e+04
0.000000000000000000e+00,8.008645780298845551e+00,6.895197040572620395e+00,9.015683013931866441e+00,2.913181280927040540e+00,8.090038603457411881e+00,3.219913081713782876e+00,3.825425599479649552e+00,5.678300669790454336e+00,8.195413380708405526e+00,3.232087023342345322e+00,4.156744212398338689e+00,8.185006938101420104e+00,9.279186937486397113e+00,4.330116668078981768e+00,9.842446700119250380e+00,4.909779602274937815e+00,8.618719080736445548e+00,9.354788575417608554e-01,3.846057039585394577e+00,7.553310511486377443e+00,5.527891285898264506e+00,4.953582186078704375e+00,2.104243232032709018e-03,6.161205140045415085e+00,4.091362343432228266e-01,3.000000000000000000e+00,3.000000000000000000e+00,2.896097204834279637e+02,2.436072743935606559e+04
0.000000000000000000e+00,9.710174481698478743e+00,8.749672813048178455e+00,6.196136631011276208e+00,4.461013268908809448e-01,5.210096344474015595e+00,3.483747309291448602e+00,9.273327992294831290e+00,8.841932371326119977e+00,4.694989463708617805e+00,5.634382630498162570e+00,9.089517336967155359e+00,3.167070307397464202e+00,8.201684292162248369e+00,8.662857545074656329e+00,2.736667690542113007e+00,4.673425353645527025e+00,9.658220269362576715e+00,5.610589853473413324e-01,1.939432678706403887e-02,4.927293766765201144e-01,4.996438964833196827e+00,7.523479460723187628e+00,3.757953153425865056e-02,2.555793815678813363e+00,9.303279936511863468e-01,4.000000000000000000e+00,3.000000000000000000e+00,7.324291321266751993e+02,2.448613116780318524e+04
0.000000000000000000e+00,9.851004000825389184e+00,7.999559924702287717e+00,1.558362199425580075e+00,1.338998532749928305e+00,9.087238741232003036e+00,4.404887950739689195e+00,5.857354916589337712e+00,9.030712079386674418e+00,5.160253672379965906e+00,3.616599312702792890e+00,8.454428461582594423e+00,5.329174714047529848e-01,1.968086666967158838e+00,5.098392244671602569e+00,2.631595314033500888e+00,7.343400431889318014e+00,6.216099792212518294e-01,9.661397040454655638e-01,3.698180723221152100e+00,4.217842566168402030e+00,3.347726209125306607e+00,4.956887801325808418e+00,1.882925704566024150e-02,3.540870030146034964e+00,8.054864203334700656e-01,5.000000000000000000e+00,5.000000000000000000e+00,4.145526747892504886e+02,2.510615314282408144e+04
0.000000000000000000e+00,7.140365234349142831e+00,8.260737251432036743e+00,7.973088453828286681e+00,1.171828174838945635e+00,8.893335495776664601e+00,3.193168355724220753e+00,9.303709237456146752e+00,1.342348367545743271e+00,3.742560562257635226e+00,2.697730156725304695e+00,1.545758339528214842e+00,1.492641430129863167e+00,9.865639918973389655e+00,5.462787191888876848e+00,1.826445566039200719e+00,6.235734720807054821e+00,6.792645293696036646e+00,3.198936767335004205e+00,1.136768378810171898e+00,7.738374835786814288e+00,6.427501643414562649e-01,4.606169257451814047e+00,8.242817658581366030e-03,5.937497077702282411e+00,7.256249750696521783e-01,4.000000000000000000e+00,4.000000000000000000e+00,5.466683760242219705e+02,2.515229810382725918e+04
0.000000000000000000e+00,8.620551015851273036e+00,5.320775359491944911e+00,6.926270834093219975e+00,2.772915906825020205e+00,5.571270882202309593e+00,4.730858337433654914e-02,5.760201030741924910e+00,9.660054060375008689e+00,9.216009225914358893e+00,2.620012254902865378e-01,6.475231210674113669e+00,6.440573419826584711e+00,9.695120344886513308e+00,1.979798049627653711e+00,1.320815992155092822e+00,7.478620494171001276e+00,6.812888885183985721e+00,4.738623186307766133e+00,2.548226991636354022e+00,9.264838635044444715e+00,1.209614276445265979e+00,3.420018329233430521e+00,9.304532428225158148e-04,2.812726142841539545e+00,4.615947111620755106e-01,3.000000000000000000e+00,5.000000000000000000e+00,2.674428731934336270e+02,2.516694676041300772e+04
