k_b_p3,k_b_p11,k_op_succ,k_pt_lldr,k_pt_gfp,k_f_lldrcomplex,k_d_lldrmRNA,k_d_lldr,k_d_lldrcomplex,k_d_gfpmRNA,k_d_gfp,alpaga_basal,alpaga_act1,alpaga_act2,alpaga_k3,alpaga_k_act1,alpaga_k_act2,copy_nr,mumax,tc,cap,sigma,scale,score
6.263524638309619696e+00,7.035878417297785070e+00,7.484403879187566666e+00,2.945188352272313015e+00,5.657462043713939792e+00,8.087289481414412506e+00,3.520531961177172153e+00,4.372168447820652837e+00,7.699082959608743337e+00,6.294908878341725966e+00,1.700892112765244480e-03,4.887844438022751703e+00,1.511638184033323062e+00,3.215203463140718476e+00,9.926688966597600938e+01,4.561945688840425106e+01,1.231903426083339070e+01,4.787681138819410265e+00,4.691191500430312300e-01,1.134718800881919165e+01,3.003182370275475077e-01,4.471372819288823131e+00,6.395772576013266644e+02,1.129778920079043135e+06
9.636876448251213034e+00,2.141522089184242805e+00,9.020298140373643747e+00,4.603347486579863812e+00,1.273160835597466845e+00,1.089105599172424110e+00,2.227659071094446830e+00,4.243026498428899451e+00,8.026315727897449293e+00,3.010372993464874650e-02,1.717270011323564910e-02,5.406459383067934610e+00,1.481776939378010471e+00,1.171316183264459881e-02,4.063027826739232751e+01,3.049128665449979891e+01,9.309246044124330410e+01,4.989889558264265723e+00,4.691191499999999848e-01,1.039959235988632358e+01,3.544798856425402933e-01,4.249643319724416557e+00,1.692592620227391365e+02,1.153053432499260874e+06
5.404989688751442145e+00,8.060203222976848991e+00,2.898813168810107310e+00,1.477014241271389583e+00,4.455465951421584414e+00,2.103989882005393053e+00,3.083891183240587530e+00,7.732307729318583789e+00,1.660380015066551751e+00,6.252200819989228719e-01,1.423435538111110683e-02,3.541918294868574790e+00,1.816747467910868830e+00,6.681113393625766506e+00,9.742295908605348131e+01,8.613811229321873952e+01,5.109216566280035465e+01,4.599932198558055241e+00,4.836111061093918417e-01,1.080367281279308855e+01,3.003182369999999879e-01,4.119348118443009632e+00,8.971637829947790976e+01,1.159919056126455544e+06
9.561279566135725716e+00,5.963948036273532871e+00,2.939914979987110044e+00,5.492451744834847993e+00,5.224609436963786990e+00,5.391337654579120731e+00,3.304986199555462356e+00,1.084171649297486439e+01,2.775999162379478857e+00,9.626872552910404224e+00,2.640149764669043851e-03,7.718032659329392864e+00,3.220296577339718969e+00,4.924992648423329733e+00,6.586315615688360481e+01,4.123208492629320432e+01,2.898015003570329995e+01,5.488309222183605840e+00,4.691191499999999848e-01,1.145170419799999983e+01,3.665563617427348708e-01,4.501305044961140034e+00,4.859249943572629036e+02,1.170112049285432091e+06
2.005338078876678587e+00,8.000058064050650231e+00,1.980064941886830132e+00,9.254498320230025499e+00,4.187419902629600621e+00,8.413040347419753928e+00,1.493525188470480991e+00,1.091027683325849473e+01,6.497694214839181193e+00,7.569028889417953820e+00,7.001752677662621089e-04,1.024024486425611613e+01,5.608415975651203311e+00,9.558816959387783641e+00,1.838712809964441419e+01,3.624042375957777118e+00,8.625461309676579758e-01,5.500000000000000000e+00,4.691191499999999848e-01,1.144940480509425385e+01,3.003182400620144632e-01,4.546459466383485193e+00,5.116714342011813983e+02,1.172669840915188426e+06
9.350556769168161253e+00,7.803262993197036756e+00,4.396714828953568244e+00,9.329979925344302316e+00,1.362796850358027445e+00,3.924748108384128908e+00,8.083738286353003843e+00,6.148541267583120806e+00,6.776319073982183916e+00,7.024951881038200563e-01,9.452531561585538616e-03,5.104785062822315034e+00,5.482264572768642097e+00,4.197773180345227395e+00,7.033284212375843936e+01,2.559583473922556962e+01,8.572369982167855085e+01,5.500000000000000000e+00,4.691191499999999848e-01,1.121029332120180122e+01,3.091072759509922441e-01,4.688611291596083142e+00,2.633930246966975233e+02,1.183224301990549546e+06
9.237397103458789616e+00,4.612147879173824627e+00,6.122382698298428627e-01,2.186031371498764031e+00,3.006988055345835575e-01,8.900227092101619775e+00,5.693854133876174117e+00,1.770563196744732837e+00,9.775922439982053902e+00,6.029463528577325704e-01,3.225381465963859332e-03,7.464258673173671532e+00,1.281427181215228028e+00,7.913948413574362739e+00,5.207256122007397181e+01,9.381240768917706419e+01,4.609896387523860284e+01,4.910095958347289624e+00,4.831280391618076875e-01,1.023192454537193008e+01,3.330951004550992134e-01,4.188429247615855999e+00,6.782690213479402246e+02,1.189965005912059918e+06
9.625846242281160814e-01,4.474956619844492778e+00,2.100033983952656946e+00,3.542905746809216883e+00,1.197517362079063119e+00,7.503317179658770542e-01,2.065857074183627962e+00,6.370155571600255584e+00,2.274910009847667336e+00,1.417167075475878613e-01,1.954239074441012792e-03,8.329767726578893416e+00,2.656455599817896474e+00,6.119137004517442691e+00,5.034389941258628198e+01,1.147683296363461380e+01,5.378497033838108621e+01,4.920177283761395515e+00,5.298485939560174662e-01,1.057652170585234153e+01,3.286619217966349482e-01,4.333537605449759411e+00,8.078256270518110682e+01,1.192574338877895381e+06
8.898480861418390120e+00,1.945150160831909947e+00,6.737637818559927716e+00,5.331928691788762720e+00,2.211127390677466664e+00,7.023561122702950854e+00,9.608837486678547535e+00,3.088913111640837261e+00,4.495180190459667990e+00,2.106374307228876308e+00,4.568232883570761890e-03,6.290773552315603645e+00,1.036423675613874495e+00,8.184406467112397721e+00,2.920347435416342918e+01,8.036350257446157741e+01,5.675875408814565048e+01,5.172650325457302856e+00,4.756334438115976115e-01,1.079300640374692399e+01,3.003182369999999879e-01,4.108452140771556849e+00,2.805509179848182839e+02,1.198859525204272009e+06
3.471085542841569449e+00,7.626277583372184310e+00,4.921541473244367637e+00,8.779155473299923074e+00,2.498581588290846422e+00,1.006172680525774465e+00,2.950087344099796116e+00,4.676690863568058631e+00,1.013643742055597041e+00,2.910694912514955490e+00,3.052111136421278934e-03,1.521863342449938816e+00,5.141762853241880649e+00,9.478024404495984712e+00,1.303154680839391766e+01,6.751134081518519281e+01,7.705886667957392433e+01,5.203879729500548557e+00,4.691191499999999848e-01,1.097433134365922314e+01,3.064650261892779559e-01,4.027161769897089627e+00,3.809799038370532571e+02,1.205006777250230778e+06
2.605702824324783506e+00,3.796465699871244937e+00,2.839785560533710562e+00,7.291192839482002475e-01,2.809765539683914959e-01,1.059404761057597399e+00,5.709244554886937273e+00,1.754898166603631626e+00,5.607862487097363680e-01,9.069295451045619738e-02,1.515666421552192000e-02,3.495777946069381414e+00,1.043363316845876465e+00,7.832262094470786806e+00,8.532446852073988453e+01,1.005810499265500368e+01,1.893857448724811121e+01,5.148526752166846521e+00,5.074825020186776170e-01,1.009841516934816497e+01,3.400488254270884192e-01,4.138243666762456030e+00,6.117559800734554756e+02,1.207940122174872784e+06
6.312638624658130304e+00,4.176601422065516767e-01,1.055019799197561525e+01,6.211381388003887949e+00,5.159858335815282970e+00,8.690647069885038434e+00,2.982380888777950823e+00,5.078899094757103327e+00,7.732159945229382103e+00,5.622541443859615740e+00,4.488454246431905492e-03,5.688698558020741786e-02,5.240992943987292207e+00,7.246897335607922486e+00,3.372830717303873627e+01,6.407154846957745065e+01,3.130897108132635154e+01,5.500000000000000000e+00,4.691191692225122889e-01,1.144151196995981756e+01,3.071903962190242199e-01,3.838837550389525788e+00,5.692721941027988350e+02,1.218480439685852500e+06
7.522817173325343276e+00,3.496415922776083818e+00,9.723331284703585098e+00,1.325624460792589554e+00,6.302034849958000340e-01,1.665582117115519845e+00,4.688306535723810065e+00,2.529715363252963645e+00,7.010119677798033244e+00,2.181113483200011194e-01,5.353841143279578114e-03,1.212081198873526278e+00,2.573765045245686611e+00,4.872520049750950655e+00,6.523266672868766136e+01,6.726682674176815624e+01,5.261579318119356685e+01,5.084260692469228182e+00,5.116410279718673904e-01,1.023383667583445344e+01,3.354254474287747256e-01,4.335766895847769753e+00,4.918795013606928705e+02,1.224235558151791338e+06
3.852552632002385291e+00,6.684290585500879622e+00,4.682696506168674055e+00,5.609298008780048583e+00,9.660162007738849477e-01,2.671785031536227706e+00,6.619607035252141003e+00,2.552455707920019190e+00,1.646957730375774531e+00,3.702377277234061292e-01,1.559013029674201833e-03,2.498217242740040867e+00,8.245620245584367680e+00,9.478332897566605908e+00,7.600865259740221802e+01,4.887006459413898085e+01,4.294251347809573360e+01,4.957865190315037474e+00,5.082654112349800357e-01,1.031242534291607527e+01,3.367187394316815685e-01,4.227160934944516057e+00,1.752946400298067715e+02,1.226644903385186801e+06
